Municipio,Latitud,Longitud,Abcisa X,Ordenada Y,Demanda en tonelada de libros
Almacen central,20.06960732,-98.74632053,526524.5815,2219204.235,0
ACATLÁN,20.1458752,-98.4383668,558696.1813,2227723.074,3.7156
ACAXOCHITLÁN,20.158617,-98.2032289,583264.6803,2229233.55,9.5522
ACTOPAN,20.2690558,-98.9424592,506008.7764,2241256.523,9.3816
AGUA BLANCA,20.3493589,-98.3563266,567182.8902,2250273.364,1.909
AJACUBA,20.0925906,-99.1221584,487229.0735,2221732.115,2.466
ALFAJAYUCAN,20.4099725,-99.3496421,463521.057,2256888.738,2.7818
ALMOLOYA,19.7033507,-98.4033117,562533.6865,2178764.426,1.6794
APAN,19.7101242,-98.4511121,557521.5984,2179497.098,6.766
EL ARENAL,20.0594546,-99.2212817,476861.4362,2218075.902,3.638
ATITALAQUIA,21.0171913,-98.3481393,567740.4414,2324188.456,3.2852
ATLAPEXCO,20.0012616,-99.2182417,477170.9166,2211635.788,6.3054
ATOTONILCO EL GRANDE,20.2868572,-98.6690265,534558.5571,2243260.051,4.6922
ATOTONILCO DE TULA,20.897157,-98.583737,543291.5699,2310821.884,2.8476
CALNALI,20.6133933,-99.1170123,487808.0056,2279366.164,2.6614
CARDONAL,20.2851739,-99.4137098,456801.9727,2243093.233,1.6672
CUAUTEPEC DE HINOJOSA,21.159252,-98.9048395,509879.3928,2339775.62,3.7376
CHAPANTONGO,20.3308726,-99.231616,475822.7308,2248113.337,2.5906
CHAPULHUACÁN,20.0357747,-98.3097498,572188.7988,2215589.126,9.1076
CHILCUAUTLA,20.2216764,-98.9112967,509265.7734,2236014.806,2.5526
ELOXOCHITLÁN,20.7468867,-98.8087809,519906.5123,2294147.078,0.3316
EMILIANO ZAPATA,19.6569908,-98.5475736,547428.2165,2173587.629,2.0288
EPAZOYUCAN,20.0178607,-98.6359793,538074.3689,2213499.178,2.1648
FRANCISCO I. MADERO,20.2452356,-99.0889209,490712.8958,2238621.951,4.8598
HUASCA DE OCAMPO,20.2039418,-98.5775599,544132.5602,2234105.958,2.8992
HUAUTLA,21.0315497,-98.2870177,574085.2511,2325804.771,3.3946
