Latitud,Longitud
20.06960732,-98.74632053
20.1458752,-98.4383668
20.158617,-98.2032289
20.2690558,-98.9424592
20.3493589,-98.3563266
20.0925906,-99.1221584
20.4099725,-99.3496421
19.7033507,-98.4033117
19.7101242,-98.4511121
20.0594546,-99.2212817
21.0171913,-98.3481393
20.0012616,-99.2182417
20.2868572,-98.6690265
20.897157,-98.583737
20.6133933,-99.1170123
20.2851739,-99.4137098
21.159252,-98.9048395
20.3308726,-99.231616
20.0357747,-98.3097498
20.2216764,-98.9112967
20.7468867,-98.8087809
19.6569908,-98.5475736
20.0178607,-98.6359793
20.2452356,-99.0889209
20.2039418,-98.5775599
21.0315497,-98.2870177
21.0323808,-98.5100697
20.4603542,-98.0786655
21.1401383,-98.4205216
20.3755391,-99.6510615
20.4848312,-99.2189153
21.0083191,-99.1886436
21.1330738,-98.5380837
20.7835783,-98.8288704
21.0993684,-99.1232327
20.8409612,-98.7172783
20.2388318,-98.3221094
20.5947687,-98.7641125
20.2281337,-98.730526
20.1458481,-98.6721913
20.0725144,-98.6962402
20.2295188,-99.2140409
20.7864134,-98.7303348
20.767794,-99.1505662
20.2525567,-99.6441329
20.1695567,-98.6485768
21.170948,-98.607735
20.1265429,-98.7301836
21.0501591,-99.2963079
21.1947587,-99.0061902
20.2465921,-99.182217
20.533288,-98.6388536
20.115689,-98.8867442
20.3992024,-98.20183
20.2847593,-99.0152407
20.3825669,-98.9640123
20.0391346,-98.3569232
19.9678015,-98.518416
20.5518515,-99.3124221
20.5341673,-99.6348372
20.3380701,-98.2266664
19.7856079,-98.5534939
21.0142984,-98.8436044
19.9050324,-99.3414846
20.1868428,-99.3802966
20.1028186,-99.1562584
20.1929668,-99.2726112
20.7282737,-98.6303056
19.8410242,-98.981584
20.130888,-99.2347467
20.9238934,-98.9501918
19.8178707,-98.6041502
20.9893946,-98.6602351
20.0917366,-99.2216243
19.9565953,-98.9218599
20.0522755,-99.3336408
20.1074488,-98.3820022
19.8798674,-98.8193114
20.8354448,-98.2845721
20.7770019,-98.6792788
20.9517761,-98.3828512
20.6452636,-98.6536224
19.9740474,-98.8620033
19.9154381,-98.6681514
20.7384873,-99.383113
